Profiling Cell_IA — lenia_model_step_legacy! — 256x256 — 255 pasos — 138209 muestras
Formato plano (C=true): incluye frames de C -> aquí SÍ aparece el coste de
FFTW (la convolución) y de la recolección de basura (gc).

 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     1         1 C:/workdir/src\gc.c     1521 gc_sweep_page
     1         1 …rkdir/src\threading.c   202 ijl_get_pgcstack
     1         0 C:/workdir/src\gc.c     1290 gc_add_page
     1         1 C:/workdir/src\gc.h      247 pop_lf_back
     1         0 C:/workdir/src\gc.c     1474 gc_sweep_page
     1         1 …rc\gc-page-profiler.h    34 gc_page_profile_write_empty_page
     1         1 @Base\array.jl             ? macro expansion
     1         1 C:/workdir/src\julia.h  1434 jl_field_isconst
     1         1 @Base\int.jl             372 |
     1         1 C:/workdir/src\gc.c     1444 gc_sweep_page
     1         0 …stomEvolutionRules.jl   219 lenia_model_step_legacy!(model::S…
     1         0 C:/workdir/src\gf.c     3060 jl_lookup_generic_
     1         1 …1e\bin\libfftw3-3.dll     ? applicable.isra.4
     1         1 C:/workdir/src\gc.c     1834 gc_sweep_pool
     1         1 …orkdir/src\builtins.c  1206 get_fieldtype
     1         1 C:/workdir/src\gc.c     1572 gc_sweep_pool_page
     1         1 @Base\dict.jl              ? iterate
     1         1 …orkdir/src\builtins.c   992 get_checked_fieldindex
     1         0 …1e\bin\libfftw3-3.dll     ? fftw_md5INT
     1         1 …build\sinl_internal.S    21 [unknown function]
     1         0 …rkdir/src\safepoint.c   200 jl_safepoint_end_gc
     1         0 …ibuv\src/win\thread.c   325 uv_mutex_lock
     1         1 …WS\SYSTEM32\ntdll.dll     ? RtlEnterCriticalSection
     1         1 C:/workdir/src\gc.c     1435 gc_sweep_page
     1         0 C:/workdir/src\gc.c     2729 gc_mark_outrefs
     1         0 C:/workdir/src\gc.c     2499 gc_mark_stack
     1         1 C:/workdir/src\gc.c     1504 gc_sweep_page
     1         1 C:/workdir/src\julia.h  1438 jl_field_isconst
     1         0 C:/workdir/src\gc.c     1292 gc_add_page
     1         1 C:/workdir/src\gc.h      356 gc_alloc_map_set
     1         0 @Base\complex.jl         343 *
     1         1 C:/workdir/src\gc.c     1329 jl_gc_pool_alloc_inner
     1         0 …1e\bin\libfftw3-3.dll     ? fftw_mkplan_dftw
     1         0 C:/workdir/src\gc.c     1702 gc_sweep_pool_parallel
     1         1 C:/workdir/src\gc.h      235 try_pop_lf_back
     1         1 …1e\bin\libfftw3-3.dll     ? t_okp_t1f
     1         0 …1e\bin\libfftw3-3.dll     ? fftw_tensor_inplace_locations
     1         0 …1e\bin\libfftw3-3.dll     ? fftw_tensor_append
     1         0 C:/workdir/src\gc.c     3851 ijl_gc_collect
     1         0 …rkdir/src\safepoint.c   191 jl_safepoint_start_gc
     1         0 …rkdir/src\safepoint.c    50 jl_safepoint_enable
     1         0 …rkdir/src\safepoint.c    65 jl_safepoint_enable
     1         1 C:/workdir/src\gc.c     1509 gc_sweep_page
     1         1 @Base\intfuncs.jl          ? copy
     1         1 …1e\bin\libfftw3-3.dll     ? htab_lookup
     1         1 C:/workdir/src\gc.c     1701 gc_sweep_pool_parallel
     1         1 …1e\bin\libfftw3-3.dll     ? fftw_md5end
     1         0 C:/workdir/src\julia.h  1400 jl_field_isptr
     1         0 @FFTW\src\fft.jl         373 maybe_destroy_plan(plan::FFTW.cFF…
     1         0 @FFTW\src\fft.jl         324 unsafe_destroy_plan
     1         0 …1e\bin\libfftw3-3.dll     ? fftw_destroy_plan
     1         0 …1e\bin\libfftw3-3.dll     ? fftw_plan_destroy_internal
     1         0 …1e\bin\libfftw3-3.dll     ? destroy
     1         1 …1e\bin\libfftw3-3.dll     ? fftw_kernel_free
     1         1 …sdk_inc\intrin-impl.h   838 __readgsqword
     1         1 @Base\simdloop.jl          ? macro expansion
     1         1 …1e\bin\libfftw3-3.dll     ? fftw_tensor_compress_contiguous.p…
     1         1 …orkdir/src\datatype.c  1835 set_nth_field
     1         1 @Base\float.jl           619 <=
     1         1 C:/workdir/src\gc.c     1511 gc_sweep_page
     1         1 …orkdir/src\builtins.c  1054 jl_f_setfield
     1         1 C:/workdir/src\gc.c     1303 gc_add_page
     1         0 …1e\bin\libfftw3-3.dll     ? fftw_tensor_compress
     1         0 C:/workdir/src\gc.c     1618 gc_sweep_prescan
     1         1 C:/workdir/src\gc.h      210 pop_lf_back_nosync
     1         1 …stem32\KERNELBASE.dll     ? GetLastError
     1         0 …t/misc\gettimeofday.c    72 gettimeofday
     1         0 …t/misc\gettimeofday.c    60 getntptimeofday
     1         0 …stem32\KERNELBASE.dll     ? GetSystemTimePreciseAsFileTime
     1         1 …WS\SYSTEM32\ntdll.dll     ? RtlGetSystemTimePrecise
     1         1 C:/workdir/src\gf.c     3010 jl_lookup_generic_
     1         0 @Base\special\exp.jl     179 table_unpack
     1         0 @Base\int.jl            1013 &
     1         0 @FFTW\src\fft.jl         371 maybe_destroy_plan(plan::FFTW.cFF…
     1         1 @Base\lock.jl              ? trylock
     1         0 …rkdir/src\safepoint.c   204 jl_safepoint_end_gc
     1         0 …rkdir/src\safepoint.c    72 jl_safepoint_disable
     1         0 …rkdir/src\safepoint.c    85 jl_safepoint_disable
     1         0 …1e\bin\libfftw3-3.dll     ? fftw_tensor_split
     1         0 …1e\bin\libfftw3-3.dll     ? fftw_tensor_copy_sub
     1         0 …r/src\genericmemory.c    62 _new_genericmemory_
     1         1 …c/support\arraylist.c   138 small_arraylist_push
     1         0 …WS\SYSTEM32\ntdll.dll     ? DbgPrint
     1         0 …1e\bin\libfftw3-3.dll     ? fftw_tensor_copy_except
     1         1 …orkdir/src\datatype.c  1836 set_nth_field
     1         0 C:/workdir/src\gc.c     3532 _jl_gc_collect
     1         0 C:/workdir/src\gc.c     3143 gc_mark_loop
     1         0 C:/workdir/src\gc.c     2962 gc_mark_loop_serial
     1         0 C:/workdir/src\gc.c     2949 gc_drain_own_chunkqueue
     1         0 C:/workdir/src\gc.c     2425 gc_mark_chunk
     1         0 C:/workdir/src\gc.c     2216 gc_mark_objarray
     2         2 C:/workdir/src\gc.c     1510 gc_sweep_page
     2         2 @Base\special\exp.jl     180 table_unpack
     2         2 C:/workdir/src\gc.c     1573 gc_sweep_pool_page
     2         0 @Base\special\exp.jl     214 exp_impl
     2         2 @Base\int.jl             527 >>
     2         0 …1e\bin\libfftw3-3.dll     ? fftw_mkplan_f_d
     2         0 C:/workdir/src\gc.c     1300 gc_add_page
     2         2 C:/workdir/src\gc.h      217 push_lf_back
     2         2 C:/workdir/src\gc.c     1328 jl_gc_pool_alloc_inner
     2         2 …orkdir/src\datatype.c  1849 set_nth_field
     2         2 …orkdir/src\builtins.c  1178 get_fieldtype
     2         2 …orkdir/src\builtins.c  1238 get_fieldtype
     2         1 …1e\bin\libfftw3-3.dll     ? fftw_tensor_md5
     2         2 @Base\abstractarray.jl   697 checkbounds
     2         2 C:/workdir/src\gf.c     3029 jl_lookup_generic_
     2         2 C:/workdir/src\gc.c     1623 gc_sweep_prescan
     2         0 C:/workdir/src\gc.c     3905 ijl_gc_collect
     2         2 C:/workdir/src\gc.c     1795 gc_sweep_pool
     2         0 @Base\special\exp.jl     181 table_unpack
     2         2 C:/workdir/src\gc.c     1314 jl_gc_pool_alloc_inner
     2         2 …orkdir/src\builtins.c   565 jl_f_isa
     2         0 @Base\special\exp.jl     230 exp_impl
     2         2 …orkdir/src\builtins.c   997 get_checked_fieldindex
     2         2 C:/workdir/src\gc.c     1247 sweep_malloced_memory
     2         0 @Base\special\exp.jl     209 exp_impl
     2         0 …1e\bin\libfftw3-3.dll     ? mkcldw
     2         0 …stem32\KERNELBASE.dll     ? VirtualProtect
     2         2 …WS\SYSTEM32\ntdll.dll     ? ZwProtectVirtualMemory
     2         0 C:/workdir/src\gc.c     3915 ijl_gc_collect
     2         0 C:/workdir/src\gc.c      420 run_finalizers
     2         0 C:/workdir/src\gc.c      439 run_finalizers
     2         0 C:/workdir/src\gc.c      393 jl_gc_run_finalizers_in_list
     2         0 C:/workdir/src\gc.c      303 run_finalizer
     2         0 …\FFTW\PvIn2_fy65U.dll     ? jfptr_maybe_destroy_plan_1659
     2         0 C:/workdir/src\gc.c     2246 gc_mark_objarray
     2         2 C:/workdir/src\gc.h      461 gc_marked
     3         3 C:/workdir/src\gf.c     2929 _jl_invoke
     3         3 …orkdir/src\datatype.c  1854 set_nth_field
     3         0 …1e\bin\libfftw3-3.dll     ? hash
     3         1 …1e\bin\libfftw3-3.dll     ? fftw_md5int
     3         3 …1e\bin\libfftw3-3.dll     ? fftw_md5putc
     3         3 …orkdir/src\builtins.c  1253 jl_f_fieldtype
     3         3 @Base\Base.jl              ? setproperty!(x::Main.UniversalAge…
     3         3 C:/workdir/src\gc.c     1831 gc_sweep_pool
     3         3 @Base\int.jl             513 <
     3         3 C:/workdir/src\gc.c     1430 gc_sweep_page
