lang,backend,device,grid,rep,ms_per_step,total_s,E_final,max_final
c,FFTW,CPU,128,1,0.601275,0.601275,303.896909812,1.000000000
c,FFTW,CPU,128,2,0.626026,0.626026,303.896909812,1.000000000
c,FFTW,CPU,128,3,0.608854,0.608854,303.896909812,1.000000000
c,FFTW,CPU,128,4,0.633277,0.633277,303.896909812,1.000000000
c,FFTW,CPU,128,5,0.693066,0.693066,303.896909812,1.000000000
c,FFTW,CPU,256,1,3.233550,3.233550,1215.587639347,1.000000000
c,FFTW,CPU,256,2,3.135830,3.135830,1215.587639347,1.000000000
c,FFTW,CPU,256,3,3.141729,3.141729,1215.587639347,1.000000000
c,FFTW,CPU,256,4,3.629738,3.629738,1215.587639347,1.000000000
c,FFTW,CPU,256,5,4.037319,4.037319,1215.587639347,1.000000000
c,FFTW,CPU,512,1,15.136699,15.136699,4862.350556464,1.000000000
c,FFTW,CPU,512,2,14.308599,14.308599,4862.350556464,1.000000000
c,FFTW,CPU,512,3,13.913315,13.913315,4862.350556464,1.000000000
c,FFTW,CPU,512,4,14.342538,14.342538,4862.350556464,1.000000000
c,FFTW,CPU,512,5,13.924580,13.924580,4862.350556464,1.000000000
julia_pure,FFTW,CPU,128,1,0.757119,0.757119,303.896909717,1.000000000
julia_pure,FFTW,CPU,128,2,0.677414,0.677414,303.896909717,1.000000000
julia_pure,FFTW,CPU,128,3,0.706203,0.706203,303.896909717,1.000000000
julia_pure,FFTW,CPU,128,4,0.702283,0.702283,303.896909717,1.000000000
julia_pure,FFTW,CPU,128,5,0.697595,0.697595,303.896909717,1.000000000
julia_pure,FFTW,CPU,256,1,3.464423,3.464423,1215.587638811,1.000000000
julia_pure,FFTW,CPU,256,2,3.495082,3.495082,1215.587638811,1.000000000
julia_pure,FFTW,CPU,256,3,3.398967,3.398967,1215.587638811,1.000000000
julia_pure,FFTW,CPU,256,4,3.400226,3.400226,1215.587638811,1.000000000
julia_pure,FFTW,CPU,256,5,3.410906,3.410906,1215.587638811,1.000000000
julia_pure,FFTW,CPU,512,1,14.853459,14.853459,4862.350554937,1.000000000
julia_pure,FFTW,CPU,512,2,15.291363,15.291363,4862.350554937,1.000000000
julia_pure,FFTW,CPU,512,3,14.481433,14.481433,4862.350554937,1.000000000
julia_pure,FFTW,CPU,512,4,13.936367,13.936367,4862.350554937,1.000000000
julia_pure,FFTW,CPU,512,5,13.619035,13.619035,4862.350554937,1.000000000
cell_ia,Agents.jl+FFTW,CPU,128,1,6.151961,6.151961,303.896909717,1.000000000
cell_ia,Agents.jl+FFTW,CPU,128,2,6.180246,6.180246,303.896909717,1.000000000
cell_ia,Agents.jl+FFTW,CPU,128,3,5.841795,5.841795,303.896909717,1.000000000
cell_ia,Agents.jl+FFTW,CPU,128,4,5.759592,5.759592,303.896909717,1.000000000
cell_ia,Agents.jl+FFTW,CPU,128,5,5.681530,5.681530,303.896909717,1.000000000
cell_ia,Agents.jl+FFTW,CPU,256,1,30.632596,30.632596,1215.587638802,1.000000000
cell_ia,Agents.jl+FFTW,CPU,256,2,30.590568,30.590568,1215.587638802,1.000000000
cell_ia,Agents.jl+FFTW,CPU,256,3,30.138933,30.138933,1215.587638802,1.000000000
cell_ia,Agents.jl+FFTW,CPU,256,4,31.436762,31.436762,1215.587638802,1.000000000
cell_ia,Agents.jl+FFTW,CPU,256,5,31.313433,31.313433,1215.587638802,1.000000000
cell_ia,Agents.jl+FFTW,CPU,512,1,153.996432,153.996432,4862.350555573,1.000000000
cell_ia,Agents.jl+FFTW,CPU,512,2,152.840070,152.840070,4862.350555573,1.000000000
cell_ia,Agents.jl+FFTW,CPU,512,3,146.515816,146.515816,4862.350555573,1.000000000
cell_ia,Agents.jl+FFTW,CPU,512,4,147.088894,147.088894,4862.350555573,1.000000000
cell_ia,Agents.jl+FFTW,CPU,512,5,147.659299,147.659299,4862.350555573,1.000000000
python_numpy,pocketfft,CPU,128,1,1.930785,1.930785,303.896909683,1.000000000
python_numpy,pocketfft,CPU,128,2,1.986668,1.986668,303.896909683,1.000000000
python_numpy,pocketfft,CPU,128,3,1.685662,1.685662,303.896909683,1.000000000
